response_date,grade,happy,cyear,height_ft,height_in,height_origil,sleep,sharples,exp_gpa,gender,hpbooks
2/2/2017,A,6,3,6,0,,7.5,4,3.3,1,
2/2/2017,A-,6,4,5,8,,5.5,6,3.1,2,
2/2/2017,A,4,4,5,6,,7,4,3.6,2,
2/2/2017,A-,7,4,5,11,,6.5,6,3.75,1,
2/2/2017,B+,1,2,5,10,,8.5,3,3.5,1,
9/15/2017,,,,,,,,0,,,
9/15/2017,,2,4,5,7,5 ft 7 inches,8,4,3.3,3,
9/15/2017,,2,3,5,6,66 inches,6,5,3.5,2,7
9/15/2017,,3,3,5,0,5'0'',7,7,3.5,2,8
9/15/2017,,3,2,5,9,5'9,6.5,4,3.3,1,7
9/15/2017,,4,2,6,1,6 1feet,9.5,0,3.2,1,1
9/15/2017,,2,3,6,3,"6'3""",8,6,3.5,1,7
9/15/2017,,6,4,5,2,62 inches,7.5,3,3.1,2,7
9/15/2017,,2,4,5,11,"5'11""",7,8,3.5,1,7
9/15/2017,,3,3,5,11,"5'11""",8,6,3.3,1,4
9/15/2017,,2,3,5,11,"5'11""",8,5,3.5,1,2
9/15/2017,,3,2,5,3,5ft 3in,7,5,3.6,2,8
9/15/2017,,2,2,5,7,5' 7'',6,3,3.5,2,7
9/15/2017,,2,2,5,3,5'3'',6,6,3.25,2,7
9/15/2017,,2,4,5,4,"5' 4""",7.5,7,3.4,2,7
9/15/2017,,4,4,5,3,"5'3""",7.5,5,,2,7
9/15/2017,,3,3,4,11,"4' 11""",8,4,3,2,7
9/15/2017,,2,2,6,1,"6' 1""",4,3,3.3,1,8
9/15/2017,,2,3,5,8,"5,8",6.5,4,3.4,1,7
9/15/2017,,3,4,5,4,"5'4""",6.5,5,3.2,3,8
9/15/2017,,2,3,5,11,5'11,7.5,5,3.6,1,7
9/15/2017,,3,2,6,,6 feet,7,2,3.5,1,8
9/15/2017,,2,4,5,3,63 inches,7.5,7,3.4,2,0
9/15/2017,,3,3,5,9,"5'9""",7,4,3.25,1,8
9/15/2017,,2,2,5,4,"5'4""",7,2,3.5,2,1
9/15/2017,,2,4,5,11,5'11'',7,3,3.7,1,7
9/15/2017,,3,2,5,11,"5'11""",7,1,3.5,1,7
9/15/2017,,3,2,5,11,5'11'',7,,3.5,1,8
9/15/2017,,2,2,5,6.141732283,168 cm,8.5,7,3.3,1,5
9/15/2017,,2,4,5,2,"5'2""",7,5,3.2,2,7
9/15/2017,,5,4,5,1,"5' 1""",6.5,5,3.5,2,8
2/2/2018,,3,1,5,3,5 foot 3,7.5,2,3,2,7
2/2/2018,,2,2,6,3,"6'3""",7,4,3.33,1,7
2/2/2018,,6,1,6,,6 feet,8,7,3,1,0
2/2/2018,,5,3,5,11,5' 11'',7,5,3.3,1,3
2/2/2018,,2,1,5,11,5Í11î,6.5,7,3.5,1,0
2/2/2018,,,,,,,,,,,
2/2/2018,,2,2,5,8,"5'8""",8,1,3.4,1,4
2/2/2018,,2,1,5,4.566929134,164 cm,8,6,3.6,2,8
2/2/2018,,2,3,5,8,5'8ft,7,8,3,2,8
2/2/2018,,2,3,5,8,5Í8î,8,6,3.25,1,7
2/2/2018,,1,1,5,5,5Í5,7,7,3.3,2,7
2/2/2018,,2,2,5,10,"5'10""",5.5,6,3,1,8
2/2/2018,,4,3,6,3,6'3'',7.5,4,3.5,1,7
2/2/2018,,1,2,5,10,"5' 10""",8,3,3.3,1,0
2/2/2018,,1,1,5,8,"5' 8""",8,5,3.45,1,7
2/2/2018,,2,1,5,7,5'7',7,5,3.67,1,7
2/2/2018,,1,1,5,1,"61""",8.5,7,3.2,2,0
2/2/2018,,2,1,5,9,"5'9""",8.5,6,3.3,1,7
2/2/2018,,3,3,5,9,5'9'',7,7,3.1,1,0
2/2/2018,,1,3,5,11,5Í11,7,8,3.3,1,1
2/2/2018,,2,1,5,9,"5'9""",7.5,7,3.5,1,7
2/2/2018,,2,2,6,2,6'2,8,7,3.4,1,8
2/2/2018,,1,1,6,,6feet,9.5,5,3,1,7
2/2/2018,,2,1,5,10,5'10'',6.5,6,3,1,7
2/2/2018,,2,1,6,,6',7.5,3,3.6,1,7
2/2/2018,,2,2,5,3,5ft 3in,7.5,7,3.5,2,0
2/2/2018,,2,2,5,11,5'11,7.5,7,3.5,2,7
2/2/2018,,2,1,5,5,5Í5î,7.5,6,3.4,2,7
2/2/2018,,2,2,5,11,5Í11î,8.5,2,3.3,2,6
2/2/2018,,5,3,5,6.535433071,169cm,7.5,2,3.5,1,7
2/2/2018,,5,1,5,5,5 foot 5,8,5,3.5,2,7
2/2/2018,,2,2,6,2,6 feet 2 inches,7,4,3,1,7
2/2/2018,,4,2,5,7,67 inches,7,4,3.5,2,7
2/2/2018,,6,3,6,3,"6'3""",7.5,4,3.5,1,7
2/2/2018,,2,1,5,4,5'4'',8,7,3.7,2,3
2/2/2018,,2,4,5,9,5Í9î,8,2,3.4,1,8
2/2/2018,,1,1,6,1,73 inches,8,4,3.5,1,7
2/2/2018,,1,1,5,10,5 10feet,7,5,3.4,1,7
2/2/2018,,2,2,6,0,"6'0""",6,2,3,1,3
2/2/2018,,1,2,5,10,5Í 10î,9.5,2,3.3,1,0
2/2/2018,,1,1,5,9,"5'9""",6.5,5,3.4,2,7
2/2/2018,,3,1,6,2,"6'2""",7.5,7,3.4,1,1
2/2/2018,,2,4,6,1,6Í1î,8,2,3.4,1,7
2/2/2018,,6,2,5,9,"5'9""",7,6,3.8,2,7
2/2/2018,,2,3,6,3,"6'3""",7.5,5,3.3,1,7
2/2/2018,,2,2,6,,6',6.5,8,3.2,1,4
2/2/2018,,2,3,6,0,72,8,5,3.5,1,0
2/2/2018,,3,1,5,5,65,6,6,3.4,2,7
2/2/2018,,6,3,5,9,"69""",8,5,3.5,1,7
2/2/2018,,2,3,5,7,67,7,7,3.7,2,0
9/15/2018,,,3,5,8,5 foot 8 inches,8,6,3.7,2,7
9/15/2018,,4,4,5,6,5Í6,7,3,3.3,1,0
9/15/2018,,2,3,5,11,11-May,7,7,3.4,1,8
9/15/2018,,7,3,5,7,5'7,6,8,3.5,1,0
9/15/2018,,1,1,6,1,6 feet 1 inch,8.5,8,3.2,1,7
9/15/2018,,3,2,5,8,"5'8""",6,6,3,2,4
9/15/2018,,5,2,5,3,"5'3""",6,2,2.5,2,7
9/15/2018,,1,3,6,2,74,8.5,1,3,1,0
9/15/2018,,1,2,6,,6 ft,6,0,3.3,1,7
9/15/2018,,2,3,5,8,5'8'',5,5,3.3,1,0
9/15/2018,,2,2,5,5,"5'5""",6.5,7,3.4,2,7
9/15/2018,,2,4,6,5,6Í5î,7,6,3.4,1,7
9/15/2018,,5,2,5,9,5'9'',7.5,5,3.1,1,0
9/15/2018,,2,2,5,2,"5'2""",8,6,3.6,2,8
9/15/2018,,3,3,5,9,5''9,6,3,3.3,1,3
9/15/2018,,4,1,5,10.86614173,180 cm,7,3,3.6,1,7
9/15/2018,,2,4,5,7,5ft7,7.5,6,3.7,2,0
9/15/2018,,5,2,5,2,5 foot 2,7,7,3,2,7
9/15/2018,,2,3,5,6,5Í6î,7,5,3,2,7
9/15/2018,,2,2,5,10.07874016,178cm,7,0,3.6,1,7
9/15/2018,,5,2,5,8,"5'8""",6,6,3.6,1,2
9/15/2018,,2,3,5,7,7-May,7.5,6,3.1,1,8
9/15/2018,,3,2,5,6,5'6,7,2,3.6,1,8
9/15/2018,,4,3,5,11,5 foot 11,7,,6,1,0
9/15/2018,,1,,,,,,10,,,
9/15/2018,,3,3,5,8,5'8,7,6,3.3,1,2
9/15/2018,,2,4,5,8,5'8'',6.5,7,3.5,2,2
9/15/2018,,3,4,5,7,5Í7,7,4,3.6,1,0
9/15/2018,,1,3,6,6,"6'6""",8.5,8,3.6,1,1
9/15/2018,,3,4,6,4,"6'4""",8,5,3.4,1,7
9/15/2018,,3,4,5,4,5'4',7,6,3.3,2,7
9/15/2018,,3,4,5,4,5 foot 4 inches,7.5,4,3.5,2,7
9/15/2018,,3,2,6,,6 feet,6.5,5,3.1,1,7
9/15/2018,,2,1,5,4,"5'4""",8,5,3,2,1
9/15/2018,,3,1,5,4,"5'4""",7.5,5,3.4,2,7
9/15/2018,,3,1,5,5,5'5,7,5,3.25,2,1
9/15/2018,,2,1,5,2,5Í2î,9.5,5,3.6,2,7
9/15/2018,,5,2,5,8,5Í 8î,7,5,3.4,1,0
9/15/2018,,2,1,5,5,5 feet 5 inches,8,6,2.8,2,2
2/2/2019,,3,2,6,0.047244094,183 cm,7.5,7,3.4,1,7
2/2/2019,,2,2,5,3,5'3,6,0,3.1,2,7
2/2/2019,,4,3,6,1,6'1,6.5,5,3.7,1,5
2/2/2019,,2,2,5,4,"5'4""",7.5,6,3.3,2,7
2/2/2019,,2,1,5,2,5'2'',8.5,5,3.5,2,7
2/2/2019,,2,2,6,0,"6'0""",7.5,6,3,1,7
2/2/2019,,6,2,5,10,5 10feet,8,8,3.4,1,0
2/2/2019,,2,1,6,1,"6' 1""",7.5,7,3.6,1,4
2/2/2019,,2,3,6,2,"6'2""",7,3,3.1,1,0
2/2/2019,,1,3,5,7,5'7,7,5,3.3,2,8
2/2/2019,,2,2,6,0,"6'0""",7.5,5,3.6,1,2
2/2/2019,,1,3,6,0,"6'00""",7,7,3,1,0
2/2/2019,,2,2,6,,6ft,7.5,9,3.4,1,7
2/2/2019,,3,1,5,10,5 feet 10 inches,8,5,3.3,1,7
2/2/2019,,2,2,5,10,"5'10""",8,5,3.25,2,8
2/2/2019,,2,3,5,9,"5'9""",7.5,0,3.1,1,8
2/2/2019,,2,1,5,7,5 ft 7 in,7,5,3.5,1,8
2/2/2019,,3,2,5,10,"5' 10""",6.5,5,3.2,1,0
2/2/2019,,2,2,5,3,5'3,6,0,3.2,2,7
2/2/2019,,5,1,5,9,"5' 9""",8,4,3,1,0
2/2/2019,,2,4,5,8,"5' 8""",7.5,7,3.3,2,2
2/2/2019,,3,1,6,1,6ft 1in,7.5,5,3,1,8
2/2/2019,,2,1,6,2,"6'2""",7,7,3.2,1,8
2/2/2019,,3,2,6,,6ft,7.5,7,3.5,1,7
2/2/2019,,4,3,5,1,5'1,8.5,,3.6,2,8
2/2/2019,,3,2,5,10,"5'10""",7,5,3.5,2,2
2/2/2019,,5,3,5,6,5'6,10,4,3.5,1,2
2/2/2019,,2,2,5,11,"5'11""",8.5,7,3.6,1,7
2/2/2019,,3,2,5,2,5'2,7,4,3.5,2,0
2/2/2019,,4,2,5,2,5 ft 2,7,4,3,2,7
2/2/2019,,2,1,5,5,5 feet 5 inches,9.5,5,3,2,2
2/2/2019,,3,1,5,7.5,5'7.5'',7,8,3.2,1,8
2/2/2019,,2,3,5,8,5 ft 8 in,8,4,3.5,1,3
2/2/2019,,3,2,6,5,6'5,8,5,3.3,1,7
2/2/2019,,3,2,5,9,5'9',7,2,3.2,1,8
2/2/2019,,2,2,5,6.141732283,168 cm,7,5,3.7,2,7
2/2/2019,,1,2,6,2,"74""",7.5,6,3.6,1,7
2/2/2019,,3,2,5,2,5'2,7,3,3.5,2,8
2/2/2019,,2,4,5,2.992125984,160cm,7.5,8,3.6,2,7
2/2/2019,,1,1,6,,6feet,8,7,3.5,3,7
2/2/2019,,4,3,6,2,6'2,6.5,5,3.6,1,2
2/2/2019,,5,2,5,8,5ft 8,6.5,3,3.4,2,7
2/2/2019,,5,4,5,2,5Í2î,6,6,3.2,2,7
2/2/2019,,3,3,5,5.748031496,167cm,8,7,3.3,1,7
2/2/2019,,6,2,5,8,5Í8,7,1,3,2,7
2/2/2019,,3,3,5,6,5'6'',7.5,6,3.6,1,7
2/2/2019,,6,3,5,5,"5' 5""",6,6,3.3,1,2
2/2/2019,,,,,,,,,,,
9/15/2019,,3,3,5,11,5Í11,6.5,2,3.4,2,7
9/15/2019,,2,3,5,2,"5'2""",7,6,3.4,2,0
9/15/2019,,2,4,5,8,5Í8,7,5,3.5,2,8
9/15/2019,,5,3,,,,7,5,,4,7
9/15/2019,,2,2,6,1,73 inches,8,2,3.3,1,7
9/15/2019,,5,3,5,1,5Í1î,7.5,5,3,2,3
9/15/2019,,2,3,5,1,5'1,6,2,3.6,2,7
9/15/2019,,3,2,6,,6',8,7,3.5,1,7
9/15/2019,,2,2,6,,6',8,7,3.3,1,7
9/15/2019,,2,2,5,6.141732283,168cm,8.5,3,3.3,2,3
9/15/2019,,5,3,6,0,6' 0'',7,5,3.5,1,7
9/15/2019,,2,3,6,,6 ft,7,3,3,1,7
9/15/2019,,2,3,5,9,5 feet 9 inches,9.5,6,3.2,1,7
9/15/2019,,2,4,6,3,"6'3""",8,6,3.4,1,0
9/15/2019,,2,2,6,,6',8,6,3.4,1,7
9/15/2019,,3,3,5,5,"5,5Í",7.5,8,3.5,2,8
9/15/2019,,2,2,5,8,5Í8î,7,3,3,1,7
9/15/2019,,2,3,6,2,6Í02,9.5,,3.3,1,7
9/15/2019,,3,4,6,3,75 inches,8,3,3.5,1,4
9/15/2019,,1,3,6,,6',8.5,1,3.2,1,0
9/15/2019,,5,3,,,,8,2,3.7,1,7
9/15/2019,,5,2,5,10,5'10,8,3,3.4,1,0
9/15/2019,,5,4,5,10,5'10,6.5,1,3.4,1,2
9/15/2019,,2,3,5,,5 feet,8,5,3.3,2,8
9/15/2019,,2,3,6,0.440944882,184 cm,7,5,3.3,1,0
9/15/2019,,3,3,5,4,5 foot 4,8,4,3.4,2,7
9/15/2019,,1,2,5,9,5'9,7,8,3.2,1,5
9/15/2019,,2,1,5,6,5 foot 6,7.5,7,3.2,2,4
9/15/2019,,2,1,5,7,5'7,7,6,3.4,1,8
9/15/2019,,2,2,5,2,"5' 2""",7.5,5,3,2,0
9/15/2019,,2,1,5,5.748031496,167cm,7.5,7,3.6,2,7
9/15/2019,,3,1,5,7.716535433,172cm,5.5,6,3.7,2,7
9/15/2019,,3,4,5,9,"5'9""",7.5,4,3.5,1,7
9/15/2019,,2,3,5,10,5 10feet,7,5,3.5,1,3
9/15/2019,,3,2,5,9,"5' 9""",8,4,3.75,1,0
9/15/2019,,2,4,5,11,"5'11""",8,8,3.65,1,0
9/15/2019,,2,3,5,11,71 inches,6.5,5,3.2,1,8
9/15/2019,,2,2,5,4,5Í4ÍÍ,8,4,3.5,2,1
9/15/2019,,2,2,5,6,5Í6,7.5,6,3.4,2,7
9/15/2019,,2,1,5,6,"5' 6""",7.5,6,3.4,2,3
9/15/2019,,2,2,5,10.07874016,178,6.5,8,3.5,1,7
9/15/2019,,5,4,5,7,67 inches,6.5,5,3.5,2,7
9/15/2019,,2,3,5,5,5Í5,8,4,3.75,2,7
9/15/2019,,2,4,6,0,6'0'',8,4,3.6,2,7
9/15/2019,,2,2,6,,6 feet,7.5,6,3.5,1,7
9/15/2019,,1,2,5,2,5'2'',8,5,3.4,2,7
9/15/2019,,3,2,5,11,"5'11""",7,9,3.5,1,7
9/15/2019,,,,,,,,,,,
9/15/2019,,3,3,6,2,"6'2""",7.5,6,3.2,1,0
9/15/2019,,3,2,5,11,5 ' 11'',6,7,3.5,1,7
2/2/2020,,2,2,5,7,5 foot 7,6,2,3.2,1,7
2/2/2020,,5,1,5,1,5'1'',7,7,3.2,2,0
2/2/2020,,5,2,6,1,6Í 1î,8.5,0,3.5,1,1
2/2/2020,,1,2,5,10,5ï10,6.5,3,2.8,1,0
2/2/2020,,2,1,5,2,"5'2""",6,6,3.6,2,7
2/2/2020,,2,1,5,9,"5'9""",8.5,5,3.4,1,8
2/2/2020,,2,2,5,2,5'2,8,8,3.6,2,8
2/2/2020,,3,1,6,,6ft,8,3,3.35,1,7
2/2/2020,,1,1,5,8,"5'8""",7,3,3.2,1,8
2/2/2020,,3,3,5,7,5'7,7,4,3.5,1,2
2/2/2020,,6,2,5,8.503937008,174,5.5,6,3.7,1,7
2/2/2020,,2,1,6,2,6'2'',8,7,3.5,1,7
2/2/2020,,1,1,5,9,69 inches,8.5,0,3.7,1,0
2/2/2020,,2,2,5,11,"5'11""",7.5,7,3.4,1,7
2/2/2020,,2,3,6,3,6Í3,8,1,2.9,1,3
2/2/2020,,2,2,6,6,"6'6""",8.5,3,3.2,1,8
2/2/2020,,2,2,4,2,"4'2""",7.5,4,3.5,2,3
2/2/2020,,3,2,6,2,6'2,8.5,,3.3,1,0
2/2/2020,,2,1,5,7,5'7,7.5,6,3.4,1,8
2/2/2020,,3,2,5,8,5'8'',6.5,6,3.6,1,7
2/2/2020,,2,1,5,10,5ft 10in,5.5,7,3.4,1,7
2/2/2020,,5,2,5,11,5'11,8,7,3.4,1,7
2/2/2020,,3,3,5,11,5'11,6.5,3,3,1,7
2/2/2020,,2,2,5,7.716535433,172,7,8,3.6,1,7
2/2/2020,,3,3,5,8,5Í8,9.5,6,3.65,2,2
2/2/2020,,2,2,5,6,5'6,7.5,6,3.2,2,7
2/2/2020,,2,2,6,,6Í,8.5,4,3.5,1,7
2/2/2020,,2,1,6,0,6'0'',8,7,3.6,1,0
2/2/2020,,,1,5,7,"5'7""",8,5,3.6,2,7
2/2/2020,,3,3,5,7,5'7,8,7,3.1,2,7
2/2/2020,,2,3,5,10,"5'10""",8,6,3.4,1,7
2/2/2020,,2,1,5,7,5' 7'',8,3,3.5,1,4
2/2/2020,,2,1,5,7,"5'7""",8,6,3.3,1,0
2/2/2020,,2,1,6,3,6 foot 3,8,2,3.8,2,8
2/2/2020,,3,1,5,6,5Í6î,7,5,3.2,2,7
2/2/2020,,6,3,5,11,5Í11,4,5,3.53,1,7
2/2/2020,,4,4,5,9,5'9,8,3,3.5,1,0
2/2/2020,,2,1,5,4,5Í4,6.5,4,3.4,2,7
2/2/2020,,3,1,5,10,"5'10""",7,5,3,1,3
2/2/2020,,4,2,5,11,5Í11î,8,3,3.5,1,7
2/2/2020,,2,1,5,10,5'10,7.5,2,3.2,1,4
2/2/2020,,3,4,5,9,69 inches,7,5,3.45,1,1
2/2/2020,,3,4,5,11,"5'11""",8,0,3.4,1,7
2/2/2020,,2,4,5,3,5ft 3in,8,4,3.4,2,0
2/2/2020,,3,1,5,2,"5' 2""",7,7,3.4,2,0
2/2/2020,,2,2,5,2,5' 2'',8.5,6,3.4,2,7
2/2/2020,,2,4,5,9,"5'9""",7.5,3,3.5,1,7
2/2/2020,,2,3,5,11,71,7,4,3.6,1,0
2/2/2020,,3,2,5,5,65,8,5,3.6,1,7
2/2/2020,,3,4,5,2,5'2,7.5,5,3.4,2,0
2/2/2020,,4,1,6,2,6'2'',7,6,3.3,1,4
2/2/2020,,2,3,5,10,5Í10î,8.5,5,3.4,1,7
2/2/2020,,2,4,5,5,5 5feet,7.5,0,3.3,2,8
2/2/2020,,2,4,6,0,72inches,7,5,3.4,1,7
2/2/2020,,3,4,5,8,5Í8ÍÍ,5,3,3.4,1,0
2/2/2020,,2,2,6,0,6'0,7.5,7,3.65,1,7
9/15/2020,A,3,4,5,7,5'7,8,7,3.5,2,0
9/15/2020,A-,4,2,6,0,6Í0,7.5,8,3.75,1,7
9/15/2020,A,2,2,5,5,5'5,8,4,3.5,2,7
9/15/2020,A+,4,3,5,7,"5'7""",7,6,3.5,1,5
9/15/2020,A,2,2,5,6,"5'6""",7.5,7,3.55,1,8
9/15/2020,A-,5,3,5,4,5'4,7,5,3,2,7
9/15/2020,A,2,3,5,3,5'3'',8,6,3.75,2,7
9/15/2020,A-,4,2,6,2,6 foot 2 inches,7,6,3.4,1,1
9/15/2020,B-,3,3,5,4.566929134,164cm,8,5,3.5,2,3
9/15/2020,B,4,4,5,7,5 foot 7 in,7,8,3.53,1,8
9/15/2020,A,3,3,5,7,5' 7'',6.5,4,3.5,2,5
9/15/2020,A,5,4,5,6,5'6'',6,0,3.1,1,0
9/15/2020,A,5,3,5,9,"5'9""",6.5,8,3.5,2,7
9/15/2020,B+,3,4,6,1,6'1'',7,4,3.3,1,7
9/15/2020,A,3,3,5,9,5'9,7,8,3.35,1,7
9/15/2020,A,2,3,6,1,6'1,8,1,3.6,1,0
9/15/2020,A,4,2,5,4,5'4,7,5,3.1,2,2
9/15/2020,,2,3,5,9.68503937,177 cm,7,7,3.5,1,4
9/15/2020,A,3,3,6,,6 feet,8,4,3,1,7
9/15/2020,A+,4,3,5,2,"5'2""",8,6,3.2,2,8
9/15/2020,A-,4,3,6,1,6 ft 1 in,7,,3.6,1,7
9/15/2020,A,2,2,6,2,"6'2""",8,5,3.3,1,7
9/15/2020,B,3,4,5,5,"5'5""",7,6,3.4,2,8
9/15/2020,A,2,3,5.05,,5.05 ft,6,4,3.4,2,0
9/15/2020,A,4,4,5,11,"5'11""",6,6,3.4545454,1,7
9/15/2020,A,3,2,5,2,"5'2""",7,4,3.33,2,8
9/15/2020,A,2,4,5,7,67,8,7,3.5,1,0
9/15/2020,A,2,2,5,4,"5'4""",7,4,3.7,2,7
9/15/2020,B-,4,2,4,11,"4'11""",5.5,5,3.4,2,0
9/15/2020,A,2,2,5,3,"5'3""",8.5,4,3.2,2,3
9/15/2020,B+,3,2,5,8,"5'8""",8,6,3.1,1,3
9/15/2020,,2,3,6,,6 ft,6,4,3.3,1,8
9/15/2020,A-,4,3,5,5.748031496,167 cm,8,7,3.5,2,8
9/15/2020,A-,2,4,5,10,"5' 10""",7.5,2,3.1,1,7
9/15/2020,B+,3,3,5,9,"5' 9""",7,7,3.7,1,0
9/15/2020,A-,2,3,6,1,"6'1""",8,4,3.3,1,7
9/15/2020,A-,4,3,5,4,5'4,6.5,5,3.6,2,7
9/15/2020,A-,2,3,6,2,6'2,7.5,4,3.5,1,0
9/15/2020,A-,1,2,6,1,6'1,7,7,3.3,1,0
9/15/2020,A,3,3,6,0,"6 ft, 0 in",8,4,3.36,1,7
9/15/2020,A-,5,4,5,,5 ft. 2 in.,7.5,6,3.4,2,0
9/15/2020,A+,4,3,5,8.897637795,175cm,7,5,3.6,1,8
9/15/2020,A,2,3,6,1,"6'1""",7.5,5,3.45,1,1
9/15/2020,A,2,2,6,,6 foot,6.5,6,3.3,1,7
9/15/2020,A,2,3,6,0,"6'0""",7.5,8,3,1,7
9/15/2020,A,2,3,6,1,6'1,7.5,7,3.4,1,7
9/15/2020,A,3,2,6,0,6'0,8,3,3.6,1,0
9/15/2020,A-,5,3,5,6,5 foot 6,7.5,5,3.4,1,7
9/15/2020,A+,1,2,5,11,"5'11""",7,7,3.5,1,7
9/15/2020,A,3,4,5,7,67 inches,8,4,3.4,1,7
9/15/2020,A,2,3,6,1,"6' 1""",7,0,3.3,1,7
9/15/2020,A,2,3,6,,6',7.5,3,3.4,1,7
9/15/2020,A,4,4,5,7,"5'7""",7,3,3.4,2,5
9/15/2020,A,4,2,5,6,"5' 6""",9.5,3,3.3,2,7
9/15/2020,B+,4,3,5,10,5'10,8,1,3.3,1,0
9/15/2020,A,3,4,5,2,"5'2""",9.5,9,3.5,2,2
9/15/2020,B,4,3,5,7,5'7,5.5,5,3.2,1,1
9/15/2020,A-,5,3,5,5,5'5,8.5,6,3.5,2,7
9/15/2020,A,2,3,5,9,"5'9""",8,5,3.7,1,8
9/15/2020,A,7,3,5,11,"5'11""",7,3,3.4,1,7
9/15/2020,,6,3,5,11,5'11,7,6,3.56,1,8
9/15/2020,,2,3,6,0,"72""",6.5,7,3.2,1,8
9/15/2020,,2,4,5,11,"5'11""",7.5,4,3.3,1,4
9/15/2020,,2,4,5,9,"5'9""",7.5,5,3.7,2,2
9/15/2020,,2,2,5,1,"5' 1""",7.5,6,3.4,2,3
9/15/2020,,2,3,6,0,"6'0""",6.5,9,3.4,1,7
9/15/2020,,2,4,5,6,5'6'',7.5,1,3.1,2,8
9/15/2020,,2,3,6,1,"6'1""",5,5,3.5,1,8
2/2/2021,A-,6,2,5,2,5Í2î,8.5,5,3.75,2,7
2/2/2021,A,1,1,5,10,"5'10""",6.5,5,3.5,1,7
2/2/2021,A,2,1,6,4,6'4'',6,5,3.6,1,7
2/2/2021,A,2,3,5,8,"5' 8""",8,3,3.4,2,7
2/2/2021,A,6,2,5,11,5'11,7,4,3.3,1,8
2/2/2021,A,2,1,5,2,5Í2î,7,6,3,2,7
2/2/2021,A,5,1,5,8,5'8,7,4,3.75,1,7
2/2/2021,A,2,1,5,4,5 feet and 4 inches,10,6,3.7,2,7
2/2/2021,A-,3,2,5,9,"5'9""",7,4,3.4,1,6
2/2/2021,A,4,1,5,5,5Í 5î,8,8,3.8,1,0
2/2/2021,A-,2,2,5,5,5Í 5î,7.5,7,3.5,2,3
2/2/2021,A,2,1,6,,6ft,7,6,3.1,1,0
2/2/2021,A,5,2,5,10,5'10'',7.5,2,3,1,7
2/2/2021,A,2,1,5,9,"5' 9""",8,4,3.7,1,7
2/2/2021,A,2,1,5,9,5'9,8,4,3.3,1,6
2/2/2021,A,5,1,5,8.11023622,173cm,7,5,3.5,2,4
2/2/2021,A-,2,1,6,0,"6'0""",7,8,3.8,1,7
2/2/2021,B+,2,4,6,0,"6'0""",7,4,3,1,7
2/2/2021,A,2,1,5,8,5ft 8,7.5,3,3,1,8
